,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1219,NWL,NETWEALTH GROUP LIMITED,Financial Services,20/11/2017,6043486375,6043486375,1.435867125411344,225859949849,0.02675767164138843,0.038420461062421044,1.3141430087693993
1220,NWM,NORWEST MINERALS LIMITED,Materials,29/11/2018,12361283,12361283,0.8817921038238828,1009891818903,1.2240205107738673e-05,1.079331621318872e-05,1.0750260251119568
1221,NWS,NEWS CORPORATION..,Media & Entertainment,19/06/2013,25562809643,25562809643,0.9189851919483394,103138247252,0.2478499521185561,0.227770435822058,0.8706844402831332
1222,NWSLV,NEWS CORPORATION..,Media & Entertainment,19/06/2013,25562809643,25562809643,0.3033928415860525,103138247252,0.2478499521185561,0.07519590126021579,0.8706844402831332
1223,NXD,NEXTED GROUP LIMITED,Consumer Services,24/08/2009,58951827,58951827,0.4061077128315167,83496805459,0.0007060369157350279,0.00028672703702377046,0.9363588553089106
1224,NXG,NEXGEN ENERGY (CANADA) LTD,Energy,02/07/2021,11258918828,11258918828,1.5315290813011952,126672735205,0.08888194298306737,0.13612528048112238,1.0282868425662293
1225,NXL,NUIX LIMITED,Software & Services,04/12/2020,594016509,594016509,1.4589186037928195,88152131966,0.006738538203807825,0.009830978747903885,1.2989843852591967
1226,NXM,NEXUS MINERALS LIMITED,Materials,23/02/2007,44074452,44074452,0.9125622586268448,1009891818903,4.3642745861508304e-05,3.9826722736055405e-05,1.0750260251119568
1229,NXT,NEXTDC LIMITED,Software & Services,13/12/2010,8059907656,8059907656,1.235313527496618,88152131966,0.09143179496905056,0.11294693316856538,1.2989843852591967
1230,NYM,NARRYER METALS LIMITED,Materials,14/04/2022,6337973,6337973,0.2482632037857601,1009891818903,6.275893002960114e-06,1.5580733035315127e-06,1.0750260251119568
1231,NYR,NYRADA INC.,"Pharmaceuticals, Biotechnology & Life Sciences",16/01/2020,232066352,232066352,0.13790837473497808,104138713167,0.002228434987744196,0.00030731984736236286,0.8464389618170871
1232,NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,"Food, Beverage & Tobacco",19/10/2016,96872809,96872809,0.04815688543099568,22040372634,0.004395243701577065,0.00021166124737815207,0.6414310699034725
1233,NZM,NZME LIMITED,Media & Entertainment,27/06/2016,185358895,185358895,0.4682964961797269,103138247252,0.0017971887242480323,0.000841617182539067,0.8706844402831332
1234,OAK,OAKRIDGE INTERNATIONAL LIMITED,Software & Services,22/06/2007,2699791,2699791,0.14257299476494467,88152131966,3.062649694100763e-05,4.366511388038875e-06,1.2989843852591967
1235,OB1,ORBMINCO LIMITED,Materials,15/09/2005,4974683,4974683,0.7277169818630734,1009891818903,4.925956332039381e-06,3.5847020747409936e-06,1.0750260251119568
1236,OBL,OMNI BRIDGEWAY LIMITED,Financial Services,28/01/2000,417940236,417940236,0.8110787789882375,225859949849,0.0018504397804011575,0.0015008524376790332,1.3141430087693993
1237,OBM,ORA BANDA MINING LTD,Materials,29/10/2002,3065372353,3065372353,1.1056206264724628,1009891818903,0.0030353472477178556,0.0033559425255832815,1.0750260251119568
1238,OCA,OCEANIA HEALTHCARE LIMITED,Health Care Equipment & Services,05/05/2017,546794428,546794428,0.10862183826235623,195869793311,0.0027916220196945096,0.0003032311155128893,0.7240078018435547
1239,OCC,ORTHOCELL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",12/08/2014,275377560,275377560,1.0707816638617054,104138713167,0.0026443341925917233,0.002831504566549765,0.8464389618170871
1240,OCL,OBJECTIVE CORPORATION LIMITED,Software & Services,17/08/2000,1615592592,1615592592,0.8848844055784543,88152131966,0.01832732295825958,0.016217562281763884,1.2989843852591967
